City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port-aux-francais,-49.35,70.2167,276.64,82,67,16.19,TF,1724102190
84,klyuchi,52.2667,79.1667,289.67,69,99,3.44,RU,1724102190
85,ushtobe,45.2514,77.9838,293.69,33,68,3.38,KZ,1724102190
86,iskateley,67.6803,53.1512,281.57,81,100,0.81,RU,1724102191
87,pisco,-13.7,-76.2167,292.18,68,0,4.12,PE,1724102191
88,ribeira grande,38.5167,-28.7,299.14,88,20,4.12,PT,1724102191
89,invercargill,-46.4,168.35,280.94,79,99,5.81,NZ,1724102029
90,whitehorse,60.7161,-135.0538,298.72,35,75,8.75,CA,1724102192
91,badger,64.8,-147.5333,285.93,82,100,3.6,US,1724102192
92,al hazm,16.1641,44.7769,305.24,35,96,4.32,YE,1724102193
93,mirnyy,62.5353,113.9611,287.19,88,81,1.97,RU,1724102193
94,isafjordur,66.0755,-23.124,277.61,86,38,2.81,IS,1724102194
95,aconibe,1.2968,10.9369,292.83,98,96,1.99,GQ,1724102194
96,center,31.5107,-96.4247,311.37,34,0,3.43,US,1724102194
97,okha,53.5739,142.9478,288.29,78,98,5.47,RU,1724102195
98,velyka bahachka,49.7912,33.7226,295.57,27,0,1.58,UA,1724102195
99,mar del plata,-38.0023,-57.5575,279.79,77,13,4.92,AR,1724102095
100,port douglas,-16.4833,145.4667,295.87,93,100,5.45,AU,1724102196
101,dzuunmod,48.2199,97.3744,284.89,83,97,0.31,MN,1724102197
102,kingscliff,-28.2667,153.5667,289.04,94,98,2.57,AU,1724102197
103,usinsk,65.9939,57.5281,280.59,80,62,1.18,RU,1724101919
104,tura,25.5198,90.2201,296.55,96,100,1.3,IN,1724102198
105,rikaze,29.25,88.8833,283.77,66,15,1.65,CN,1724102199
106,port blair,11.6667,92.75,300.69,80,100,4.51,IN,1724102199
107,urucui,-7.2294,-44.5561,303.41,25,37,2.37,BR,1724102199
108,xilin hot,43.9667,116.0333,289.11,93,76,1.96,CN,1724102199
109,toliara,-23.35,43.6667,294.2,59,0,4.15,MG,1724102200
110,east london,-33.0153,27.9116,292.29,49,0,4.13,ZA,1724102200
111,lihue,21.9789,-159.3672,301.92,67,20,5.66,US,1724102201
112,wailua homesteads,22.0669,-159.378,301.59,70,20,5.66,US,1724102014
113,tarazona,41.9,-1.7333,293.47,46,0,2.73,ES,1724102201
114,sokhumi,43.0033,41.0153,296.73,69,0,2.52,GE,1724102202
115,jieshi,22.8134,115.8257,299.52,92,100,10.06,CN,1724102202
116,vorgashor,67.5833,63.95,277.88,86,12,1.81,RU,1724102202
117,happy valley-goose bay,53.3168,-60.3315,288.32,94,100,6.17,CA,1724102202
118,argostolion,38.1811,20.489,302.45,36,20,1.54,GR,1724102203
119,dunedin,-45.8742,170.5036,279.15,67,95,5.36,NZ,1724102203
120,sao vicente,-23.9631,-46.3919,293.13,94,0,1.03,BR,1724102203
121,amga,60.8953,131.9608,286.52,63,100,1.67,RU,1724102204
122,chonchi,-42.6128,-73.8092,281.36,67,2,1.14,CL,1724102204
123,ankazoabo,-22.2833,44.5167,290.01,72,0,2.36,MG,1724102205
124,hamilton,39.1834,-84.5333,299.59,59,75,6.17,US,1724102205
125,suntar,62.1444,117.6319,288.1,97,100,1.01,RU,1724102206
126,yuzhno-kurilsk,44.0306,145.8556,288.13,87,94,0.64,RU,1724102206
127,aasiaat,68.7098,-52.8699,275.52,79,100,2.14,GL,1724102206
128,lulindi,-10.8167,39.1333,293.16,70,16,3.11,TZ,1724102207
129,olonkinbyen,70.9221,-8.7187,276.72,96,100,6.53,SJ,1724102207
130,port lincoln,-34.7333,135.8667,286.45,72,100,8.39,AU,1724102208
131,urangan,-25.3,152.9,291.34,80,4,2.06,AU,1724102208
132,jamestown,42.097,-79.2353,288.72,96,100,4.12,US,1724102208
133,ilam,26.9167,87.9167,295.61,90,100,1.51,NP,1724102209
134,tegueste,28.5167,-16.3167,297.79,94,20,4.63,ES,1724102209
135,pimentel,-6.8367,-79.9342,293.31,68,75,11.32,PE,1724102209
136,tucurui,-3.7661,-49.6725,304.74,38,56,1.79,BR,1724102210
137,broken hill,-31.95,141.4333,287.45,39,11,10.41,AU,1724102210
138,antigonish,45.6169,-61.9986,298.16,98,35,1.43,CA,1724102210
139,alice springs,-23.7,133.8833,283.9,66,0,0.0,AU,1724102211
140,al majaridah,19.1236,41.9111,303.87,72,83,1.14,SA,1724102211
141,punta arenas,-53.15,-70.9167,279.21,70,0,11.83,CL,1724102211
142,bubaque,11.2833,-15.8333,300.03,84,100,7.0,GW,1724102212
